system   D            wsystem.c:583  maybe_parent_dir                 [   0.03727] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Allegro\
display  D   display_settings.c:191  debug_display_settings           [   0.17613] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17615] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17617] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17619] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17621] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17623] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17624] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17626] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17628] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17630] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17632] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17634] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17635] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17639] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17641] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17643] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17644] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17646] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17648] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17650] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17652] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17654] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17655] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17657] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17659] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17661] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17662] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17664] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17666] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17668] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17669] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17671] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17673] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17675] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17676] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17678] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17681] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17684] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17685] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17687] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17689] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17691] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17692] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17694] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17696] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17698] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17700] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17702] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17703] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17705] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17707] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17709] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17710] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17712] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17714] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17716] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17717] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17719] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17721] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17723] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17724] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17726] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17728] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17730] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17731] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17733] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17735] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17737] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17739] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17741] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17742] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17744] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17746] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17748] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17749] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17751] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17753] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17755] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17756] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17758] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17760] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17762] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17764] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17766] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17767] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17769] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17771] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17773] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17774] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17776] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17778] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17781] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17783] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17787] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17789] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17790] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17792] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17794] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17796] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17797] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17799] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17801] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17804] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17808] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17810] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17812] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17814] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17816] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17817] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17819] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17821] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17823] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17825] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17826] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17830] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17832] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17833] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17835] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17837] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17839] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17841] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17843] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17844] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17846] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17848] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17850] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17851] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17853] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17855] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17857] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17858] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17860] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17862] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17864] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17872] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17874] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17878] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17882] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
