system   D            wsystem.c:583  maybe_parent_dir                 [   0.03116] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Monster Slayer\
display  D   display_settings.c:191  debug_display_settings           [   0.18257] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18259] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18263] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18267] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18268] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18270] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18276] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18279] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18280] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18282] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18284] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18286] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18290] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18293] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18297] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18298] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18300] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18302] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18304] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18305] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18307] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18309] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18311] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18313] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18315] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18316] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18318] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18320] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18322] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18323] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18325] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18327] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18329] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18331] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18333] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18334] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18336] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18338] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18340] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18342] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18344] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18347] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18349] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18351] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18352] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18356] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18358] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18360] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18362] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18363] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18367] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18369] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18370] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18374] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18376] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18378] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18380] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18381] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18383] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18387] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18389] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18391] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18393] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18395] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18396] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18398] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18400] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18402] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18404] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18406] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18407] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18409] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18411] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18413] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18414] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18416] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18418] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18422] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18424] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18425] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18427] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18429] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18431] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18433] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18435] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18436] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18440] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18442] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18444] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18448] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18450] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18453] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18456] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18457] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18461] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18464] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18466] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18468] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18472] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18474] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18477] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18479] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18481] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18482] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18484] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18486] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18488] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18490] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18492] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18493] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18495] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18497] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18499] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18500] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18502] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18504] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18506] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18510] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18511] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18513] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18517] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18518] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18520] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18522] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18524] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18526] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18528] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18531] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18535] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18538] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18542] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18543] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18545] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18547] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18549] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18551] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18553] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18554] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18556] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18558] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18560] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18561] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18564] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18565] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18567] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18569] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18571] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18574] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18576] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18578] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18580] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18582] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18583] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18585] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18587] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18589] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18590] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18592] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18594] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18596] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18598] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18600] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18601] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18603] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18605] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18607] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18608] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18610] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18612] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18614] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18616] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18618] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18620] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18622] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18625] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18627] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18629] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18631] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18633] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18636] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18638] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18640] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18642] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18644] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18645] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18647] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18649] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18651] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18652] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18654] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18656] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18658] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18660] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18662] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18663] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18665] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18667] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18669] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18670] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18672] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18676] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18678] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18680] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18682] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18684] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
