system   D            wsystem.c:583  maybe_parent_dir                 [   0.03643] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Monster Slayer\
display  D   display_settings.c:506  _al_score_display_settings       [   0.18121] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18123] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18125] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18126] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18128] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18130] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18132] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18133] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18135] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18137] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18139] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18140] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18142] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18149] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18151] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18153] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18155] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18157] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18159] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18160] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18162] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18164] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18165] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18167] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18169] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18171] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18172] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18174] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18176] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18177] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18179] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18181] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18183] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18185] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18186] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18188] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18190] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18192] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18194] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18195] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18197] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18199] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18203] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18205] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18207] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18208] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18210] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18212] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18214] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18217] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18219] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18221] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18223] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18224] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18226] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18228] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18230] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18232] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18233] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18235] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18237] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18239] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18240] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18242] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18246] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18249] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18251] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18253] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18255] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18257] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18258] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18260] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18262] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18264] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18266] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18268] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18269] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18271] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18275] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18276] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18278] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18280] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18282] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18284] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18286] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18287] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18289] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18291] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18293] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18297] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18299] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18302] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18304] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18307] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18309] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18312] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18314] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18317] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18319] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18325] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18326] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18330] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18332] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18334] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18336] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18338] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18340] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18342] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18343] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18345] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18347] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18349] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18350] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18352] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18354] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18356] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18357] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18359] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18361] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18363] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18364] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18366] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18368] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18370] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18371] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18373] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18375] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18377] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18378] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18380] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18382] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18384] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18388] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18389] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18391] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18393] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18395] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18396] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18398] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18401] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18404] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18405] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18407] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18409] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18411] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18412] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18414] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18416] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18418] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18419] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18421] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18425] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18426] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18428] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18430] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18432] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18433] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18435] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18439] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18440] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18442] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18444] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18446] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18447] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18449] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18451] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18453] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18454] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18456] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18458] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18460] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18461] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18463] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18465] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18467] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18468] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18472] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18474] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18477] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18479] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18481] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18482] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18484] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18486] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18490] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18493] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18495] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18497] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18499] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18503] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18506] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18509] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18511] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18513] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18517] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18518] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18520] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18522] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18524] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18525] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18527] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18531] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18534] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18538] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18542] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18543] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18547] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18554] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18563] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18565] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18567] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
